// GERMAN FLASHCARD VOCABULARY
// This vocabulary has been randomly shuffled
// Format: English | German | Hint (optional)

the niece | die Nichte
without | ohne
monthly | monatlich
to exist/pass | bestehen
the relative | der Verwandte
the asparagus | der Spargel
green | grün
red | rot
to press | drücken
at the latest | spätestens
welcome | Willkommen
you (formal dative) | Ihnen
to end | beenden
the tomato | die Tomate
November | der November
Friday | der Freitag
the shoulder | die Schulter
the phase | die Phase
Wednesday | der Mittwoch
unfortunately | leider
ten | zehn
any | irgendwelche
the season | die Saison
the century | das Jahrhundert
the heart | das Herz
the blood | das Blut
the age | das Alter
Saturday | der Samstag
October | der Oktober
I'm doing well | Mir geht's gut
to publish | veröffentlichen
to find out | herausfinden
the back | der Rücken
the hair | das Haar
excuse me | Entschuldigung
pregnant | schwanger
to thank | danken
the body | der Körper
meanwhile | inzwischen
the skin | die Haut
the recipe | das Rezept
good day | Guten Tag
at/around | um
alright | in Ordnung
to open (account) | eröffnen
the past | die Vergangenheit
eight | acht
to ask | fragen
fourteen | vierzehn
until | bis
the dollar | der Dollar
the bread | das Brot
June | der Juni
to cost | kosten
good evening | Guten Abend
the end | das Ende
the breakfast | das Frühstück
yellow | gelb
to buy | kaufen
you're welcome | Gern geschehen
the beginner | der Anfänger
to send | senden
to count | zählen
the gentleman | der Herr
the ATM | der Geldautomat
Christmas | das Weihnachten
she is | sie ist
to drink | trinken
the men | die Männer
see you tomorrow | Bis morgen
to win | gewinnen
the franc | der Franken
you are | du bist
the year | das Jahr
the foot | der Fuß
white | weiß
the women | die Frauen
the neck | der Hals
the tooth | der Zahn
the future | die Zukunft
all clear | Alles klar
the audience | das Publikum
good night | Gute Nacht
the week | die Woche
fifteen | fünfzehn
the date | das Datum
to show | zeigen
the mouth | der Mund
to end | enden
through | durch
good morning | Guten Morgen
for what | wofür
quiet | leise
about what | worüber
the finger | der Finger
you (plural accusative) | euch
March | der März
to treat | behandeln
no | nein
to say | sagen
to give | geben
the person | die Person
the bean | die Bohne
me | mir
us | uns
the great-grandchild | der Urenkel
the onion | die Zwiebel
the iron | das Eisen
daily | täglich
Tuesday | der Dienstag
the aunt | die Tante
she/they | sie
him (accusative) | ihn
me (accusative) | mich
over | vorbei
along | entlang
the vegetarian | der Vegetarier
how are you | Wie geht's?
see you later | Bis später
twelve | zwölf
to have lunch | zu Mittag essen
fantastic | fantastisch
five | fünf
the twin | der Zwilling
the menu | die Speisekarte
the cent | der Cent
the man | der Mann
to process | bearbeiten
